GID,tif,min,max,mean,count,sum,std,median,percentile_90
1998_737,1998_737_rbr_w_offset.tif,-699.568115234375,510.60833740234375,87.69403592133976,464682,40749840.0,91.07547437381879,92.07258605957031,187.4877471923828
2019_834,2019_834_rbr_w_offset.tif,-150.3490753173828,316.7916259765625,186.93872162673392,793,148242.40625,84.80750294565999,213.138427734375,263.64475708007814
2006_700,2006_700_rbr_w_offset.tif,-238.7655487060547,454.45806884765625,182.47287476761872,5917,1079692.0,102.65520135489227,188.2466278076172,308.30782470703133
1996_654,1996_654_rbr_w_offset.tif,-277.427978515625,570.0536499023438,143.96428571428572,48244,6945413.0,169.15846238984156,112.88385009765625,402.46550903320315
1999_521,1999_521_rbr_w_offset.tif,-574.9241943359375,530.6326904296875,100.88477630911939,660845,66669200.0,79.5669839412541,92.60001373291016,203.69122009277342
1996_588,1996_588_rbr_w_offset.tif,-507.6360778808594,563.12451171875,121.81800260961803,213058,25954300.0,184.9778818339945,99.48605346679688,386.1587860107423
2018_598,2018_598_rbr_w_offset.tif,-85.55876159667969,581.940185546875,213.2902521558782,9161,1953952.0,186.92067275423082,223.82350158691406,462.2897644042969
2001_361,2001_361_rbr_w_offset.tif,-87.59367370605469,467.15673828125,228.70683479532164,1710,391088.6875,115.06607168066782,242.80357360839844,370.1182861328125
2006_884,2006_884_rbr_w_offset.tif,-536.39501953125,214.18588256835938,-1.2936586366348448,838,-1084.0859375,134.97170379240603,25.81202507019043,156.49389801025401
1988_9,1988_9_rbr_w_offset.tif,-418.31121826171875,285.18011474609375,57.211468855218854,2970,169918.0625,100.18225969482359,60.28160858154297,174.26502990722653
2006_680,2006_680_rbr_w_offset.tif,-133.99520874023438,522.4175415039062,121.25299838265875,47609,5772734.0,110.72530806828274,102.21137237548828,279.20386962890626
2020_525,2020_525_rbr_w_offset.tif,-93.22988891601562,220.42129516601562,46.43077161343612,1816,84318.28125,46.07648389682669,42.78969192504883,107.30331802368164
2019_768,2019_768_rbr_w_offset.tif,-197.76910400390625,577.7674560546875,284.26732408590016,101001,28711284.0,121.88463433016766,298.0581970214844,431.3489074707031
1998_855,1998_855_rbr_w_offset.tif,-399.5851745605469,517.2578125,250.66844506095447,37487,9396808.0,105.86683671361612,259.64105224609375,382.50555419921875
2012_776,2012_776_rbr_w_offset.tif,-146.7091827392578,298.5769958496094,83.57472158121801,9967,832989.25,76.77222785780677,79.3419418334961,186.72523498535156
1996_635,1996_635_rbr_w_offset.tif,-375.5867004394531,604.3130493164062,181.4138441843453,109360,19839418.0,155.59382885814114,181.5379638671875,388.58973083496096
